#{"t_start": 1729732848.422208, "env_id": "None"}
r,l,t
-24.210106,42,10172.915583
2.390336,88,10240.600012
-3.1238875,57,10287.609469
-6.3973923,43,10325.276624
-4.06954,67,10378.938278
-8.691945,60,10427.947875
-7.0474024,32,10458.276624
-6.7495317,54,10503.285465
3.2705002,70,10558.958304
-5.715938,100,10634.637718
-12.394817,37,10668.309424
-10.328215,44,10706.648071
-7.630222,20,10728.982643
-5.2809024,97,10802.666148
-12.684148,99,10877.673274
-12.148901,42,10914.687665
-6.1303344,42,10951.677774
-28.948591,53,10996.021983
-10.269417,48,11040.358208
-14.188831,74,11098.703293
-7.232752,63,11149.705634
-23.843674,26,11176.042183
20.78757,100,11251.720432
-1.9438162,88,11319.408018
-9.664051,42,11356.400111
-6.0046053,80,11418.752366
-3.8935466,87,11485.748032
-3.084474,53,11530.088647
-2.6661339,100,11605.768159
-16.573776,17,11626.103529
-13.724361,55,11671.777268
-12.702286,83,11736.117279
-15.696974,31,11765.793904
-13.321863,55,11811.458278
-8.294527,95,11883.806323
-6.7800684,38,11918.148435
-9.726694,21,11941.135665
3.797223,100,12016.814914
-10.244893,19,12038.490261
-17.182884,18,12059.491795
2.824582,79,12121.158133
-6.0166698,38,12155.499308
-15.59027,33,12186.505774
-9.729942,12,12203.504109
-7.8354416,47,12243.838638
-14.200034,40,12279.513369
1.3076258,100,12355.188818
-8.420649,49,12396.861257
-8.947756,23,12421.2074
-8.755622,51,12464.200999
1.2429591,100,12539.872172
-32.92298,100,12615.557462
-0.05215931,59,12663.891678
11.214914,100,12739.573551
-10.290585,100,12815.246298
-2.7277906,78,12876.251239
-18.49037,56,12922.592321
-7.3545904,29,12950.931318
-5.0361285,83,13015.265955
-9.174646,47,13055.608006
-7.396625,74,13115.274886
-8.977021,23,13139.622499
-7.2301702,38,13173.943887
-1.508748,74,13232.305273
-9.697463,18,13253.297431
-1.1689003,66,13306.310783
-6.791567,58,13353.97695
7.8438873,100,13429.654104
-14.698486,25,13455.988855
-9.566437,26,13482.328244
-19.99394,94,13554.006837
-8.986416,21,13576.997955
-7.1593533,42,13614.009303
1.3513393,45,13653.004013
-8.572594,38,13687.347955
-9.100741,19,13709.016079
6.907381,83,13773.359802
-8.013021,42,13810.368469
-8.008284,28,13838.036692
-1.3032484,100,13913.707735
-0.4964571,68,13968.057982
-5.4469666,54,14013.061187
-9.108802,29,14041.401122
-9.253698,40,14077.068826
-19.353907,61,14126.733863
-8.668122,23,14151.069865
-17.043688,55,14196.741565
-9.63121,18,14217.752608
-9.455867,28,14245.418721
0.9591694,77,14305.766637
-6.7187004,65,14358.098943
-0.9833298,100,14433.784581
6.247607,100,14509.463478
-19.963278,19,14531.122801
-0.77034473,66,14584.129763
-8.788133,21,14607.128256
-0.46224976,53,14651.472941
-11.465844,23,14675.808504
-7.1845655,34,14707.489672
-9.275846,26,14733.823892
-10.024995,78,14794.827052
-16.398626,18,14815.838543
-7.716161,62,14866.180406
-8.902511,27,14893.181964
-10.24022,78,14954.187771
-8.471592,27,14981.201754
1.6752901,70,15036.876249
-8.781439,92,15107.208243
-21.301884,29,15135.541293
-8.7093115,59,15183.881518
5.6889763,91,15253.557312
-6.503977,54,15298.574441
-6.408847,41,15334.909251
-2.513732,54,15379.905219
-7.053518,23,15405.256172
-8.689684,31,15434.917054
-12.560719,32,15465.26278
-1.2080173,41,15501.584278
-17.116764,44,15539.930473
-7.8820996,46,15579.616976
-25.321941,22,15603.271676
-3.9034572,98,15677.620015
-5.2078023,57,15724.624204
-6.9416313,53,15768.964852
4.356744,100,15844.649052
-8.492932,56,15890.98945
-9.143177,100,15966.660797
7.317642,100,16042.337086
-10.050726,18,16063.335449
-3.9746895,53,16107.684197
-6.2165046,69,16164.017828
-19.200039,63,16215.027051
-9.198852,21,16238.050116
-6.284972,54,16283.048109
-8.62906,29,16311.380228
3.3056593,62,16361.709733
-9.623436,24,16386.717841
-3.47642,59,16435.056251
-4.785592,43,16472.731239
-9.175839,21,16495.733933
-6.9222665,34,16527.409171
4.6866007,55,16573.075203
6.3031235,95,16645.41397
-1.8342876,35,16677.763691
-9.174405,30,16706.754043
-0.97133064,45,16745.760987
