#{"t_start": 1729732848.422208, "env_id": "None"}
r,l,t
2.4260893,69,45191.740067
-0.45625305,55,45237.409939
0.027051926,79,45299.079022
-7.932749,29,45327.418634
10.095639,100,45403.094176
0.34663782,100,45478.771592
-15.399059,43,45516.441707
-3.621737,53,45560.783779
1.4750558,100,45636.454507
-5.967535,34,45668.115463
13.214966,100,45743.791668
-7.952388,40,45779.46757
13.93103,100,45855.143531
19.094805,100,45930.817305
-8.9175205,27,45957.83009
10.448123,100,46033.511625
3.746202,100,46109.17737
-9.750261,16,46128.851682
0.2949582,100,46204.532295
-9.142221,18,46225.53629
-19.512772,14,46243.861645
1.5775833,72,46300.876357
6.7231164,100,46376.544311
0.5729389,57,46423.552117
-5.3055973,42,46460.558837
6.1905346,57,46507.564319
-5.4332037,35,46539.90599
2.0547495,54,46584.910352
-9.395782,30,46613.918191
-2.7698445,29,46642.252507
-8.697906,42,46679.250943
-9.800905,29,46707.590442
0.27932885,100,46783.271148
-1.1587963,47,46823.606605
12.182725,100,46899.285474
2.6473083,60,46948.287054
1.0903482,68,47002.633645
-5.975303,43,47040.297789
0.9833645,100,47115.971111
16.928022,100,47191.650235
-6.6969337,35,47223.987446
-3.652958,39,47258.98484
-5.5037866,41,47295.322609
20.620565,100,47371.002385
-1.957015,66,47424.019629
-5.746317,62,47474.352016
-4.835161,32,47504.695616
-4.274757,45,47543.692021
20.631865,100,47619.368849
-7.990843,42,47656.371602
-8.466413,24,47681.383451
-3.819128,100,47757.059244
-11.388601,29,47785.392545
-9.131736,37,47819.053698
0.044049263,88,47886.738194
-1.083435,52,47930.421823
-1.3258867,54,47975.432779
-9.174921,27,48002.441813
13.671367,100,48078.103617
-6.5227175,93,48149.112742
-6.862519,44,48187.461412
12.101831,100,48263.129183
-3.1100311,37,48296.808138
20.090551,100,48372.472376
-15.760745,100,48448.15291
-7.4750667,37,48481.833052
9.391048,80,48544.175742
25.581621,100,48619.856366
-8.57348,45,48658.856337
-8.985952,21,48681.864237
-8.722962,44,48720.193997
1.768733,53,48764.543308
14.295624,100,48840.223624
-5.021821,54,48889.566544
4.247011,66,48942.562784
-9.752197,23,48966.901988
-9.026291,17,48987.22957
-2.6902814,37,49020.91094
-5.125668,47,49061.247972
-5.1200366,48,49102.256203
-9.414219,32,49132.59609
-0.0813818,69,49187.602924
-9.754082,17,49207.939249
-9.002551,44,49246.271699
-0.27615166,97,49319.954026
9.207034,100,49395.627608
-3.1989388,68,49449.982455
0.79682446,64,49501.642437
-6.1099386,34,49533.318359
11.16192,100,49608.998023
-7.956547,25,49634.653204
6.542944,100,49710.338356
-0.10569251,100,49786.006607
-23.102654,87,49853.040774
8.28006,100,49928.696691
2.8892431,79,49990.376243
-3.323524,100,50066.052888
1.6629915,65,50118.395996
-1.8197747,43,50156.066748
-1.9244413,97,50229.732905
7.996419,100,50305.416234
4.9703274,100,50381.086748
21.451271,100,50456.768893
1.165163,45,50495.774423
-9.249792,13,50513.43275
-4.630644,31,50544.770764
-6.448322,30,50573.769884
-5.703323,37,50607.457349
19.814943,100,50683.133286
-4.9403195,77,50745.465403
2.0576057,56,50791.816216
-8.4791155,19,50813.489817
6.7397423,100,50889.157992
-6.931483,49,50930.833473
29.130013,100,51006.499207
-5.344074,100,51082.18162
15.347012,100,51157.859217
-8.6711855,24,51182.854652
20.223152,100,51258.523168
-2.7463498,100,51334.215681
-2.1529598,57,51381.209571
-8.654951,71,51437.551963
8.739871,100,51513.237403
10.566613,100,51588.917375
-8.646492,23,51613.24795
-2.6142035,82,51676.928858
-8.602793,31,51706.595308
6.6000786,100,51782.271811
-9.641391,33,51813.277648
-9.206191,60,51862.272776
-6.827053,25,51887.951674
-11.01226,60,51936.948851
-9.86375,16,51956.621353
8.307662,100,52032.287394
-2.1381683,51,52075.305534
20.840202,100,52150.981561
4.541564,100,52226.657549
-8.20417,24,52251.659522
0.1738596,49,52293.32094
-7.114231,31,52322.99597
8.57284,100,52398.665606
15.069124,100,52474.343463
-0.8812866,61,52524.021683
-2.9267635,100,52599.703062
13.865074,100,52675.386207
1.8171895,100,52751.055997
-1.9423008,83,52815.40794
-4.5256777,100,52891.070411
7.4008617,97,52964.751133
-0.4606886,66,53017.760552
-1.916873,33,53048.769569
5.8912344,95,53121.111904
-1.5882068,81,53184.11881
13.186885,100,53259.806046
-10.439231,63,56914.300025
-17.298073,1,56924.622959
9.749349,100,57000.31608
4.536244,100,57075.981284
3.504248,100,57151.6634
-6.1742525,71,57208.012902
-7.32543,32,57238.338972
1.5942926,48,57279.356537
-8.223837,70,57335.022455
-2.9201703,77,57395.3778
21.039005,100,57471.045206
7.0876675,94,57542.736029
25.166708,100,57618.402045
-13.122276,18,57639.401735
30.543427,100,57715.081118
-5.75172,57,57762.089416
8.529806,100,57837.769295
0.6157999,64,57889.445116
0.8250351,100,57965.125391
1.7851362,73,58022.799101
-3.5108929,52,58066.476155
-6.541157,34,58098.139294
-4.6809235,35,58130.478051
13.308367,100,58206.150458
-2.4882555,38,58240.484934
33.881584,100,58316.175863
-10.200827,31,58345.846271
13.262121,100,58421.517558
17.742952,100,58497.192822
-1.0772152,86,58563.54224
9.472746,100,58639.216954
-12.908384,36,58672.214615
-9.724202,89,58740.561052
9.971127,100,58816.239466
-3.2727156,100,58891.916687
4.3986683,100,58969.600178
6.0474453,73,59027.263577
-0.6793828,100,59102.935807
-7.3938046,23,59127.282769
-9.366599,38,59161.622542
-11.737977,88,59229.28337
11.655541,100,59304.980521
-1.6308002,48,59346.983188
-4.8465443,52,59390.659383
-7.7585325,45,59429.654901
12.335116,100,59510.346097
-5.354059,46,59550.01527
10.529191,100,59625.686874
4.9895306,61,59675.36814
0.27665234,73,59733.054202
2.401921,100,59808.723222
-9.222055,68,59863.061231
18.843287,100,59938.726642
-5.7139726,84,60003.730055
12.924965,100,60079.415046
-8.9686985,19,60101.087097
10.850995,100,60176.758844
12.831404,100,60252.436027
-7.7256722,83,60316.780334
4.0445795,100,60392.460981
-4.5290313,100,60468.130606
-8.379699,37,60501.805006
3.2846098,100,60578.814118
-7.5506287,48,60619.813818
18.293036,100,60695.49777
-8.5515995,58,60743.169337
6.8687363,51,60786.173717
-1.4952822,79,60847.844449
27.119303,100,60923.52212
-9.214857,15,60942.522888
-8.783169,25,60969.192629
-9.560344,44,61007.539642
-6.3702297,25,61033.210526
-3.8191109,100,61108.874907
-6.5816913,21,61131.885003
-9.8408985,17,61152.221427
-6.1638985,28,61179.888434
1.0464258,64,61231.564413
-4.1402416,37,61265.230269
-7.9699354,16,61284.910672
-5.2270546,42,61321.910442
25.532507,100,61397.591445
-7.620967,20,61419.919508
23.738308,100,61495.604064
4.2983036,100,61571.268771
13.3971405,100,61646.955308
12.380557,100,61722.621622
-5.914626,68,61776.960649
27.074034,100,61852.642973
-24.134663,83,61918.316179
-8.514269,64,61969.994356
1.1501818,59,62018.319842
9.887963,100,62094.006991
-8.961654,25,62119.675857
-9.657541,13,62137.343682
-6.4124207,88,62205.0187
-6.098693,46,62244.692719
9.088072,100,62321.033516
2.6044931,100,62396.709161
-1.6656237,43,62434.384938
-13.755404,93,62505.388323
14.229178,100,62581.068365
-0.9364672,81,62644.079388
-8.307674,31,62673.750083
23.284657,100,62749.426313
-4.5338492,96,62822.428634
14.218552,100,62898.10244
10.151722,89,62966.447494
-10.02141,21,62989.451766
-5.904276,30,63018.458572
10.966715,100,63094.135161
2.1141253,68,63148.491835
24.129736,100,63224.167179
-5.9909673,64,63275.834936
2.2012389,100,63351.518233
-3.5140333,38,63385.856232
-8.576728,36,63418.852866
19.553328,100,63494.530964
-7.576911,55,63540.205818
1.4869938,88,63607.880267
-3.5511475,29,63636.21373
11.296845,100,63711.892842
28.43909,100,63787.56663
-9.005639,18,63808.570972
1.6440296,38,63842.907336
22.24891,100,63918.58937
24.340326,100,63994.248791
-6.7914805,24,64019.261497
-4.129659,39,64054.272722
9.177057,88,64121.940439
-1.497694,100,64197.623854
-9.123976,44,64238.956537
-8.323373,55,64284.63339
-8.1892605,36,64317.62964
-6.914341,41,64353.97707
6.2328777,78,64414.980776
10.719122,100,64490.658002
4.5310564,80,64552.99664
-5.5129986,52,64596.671081
-3.3871713,53,64641.008999
-10.282551,45,64680.015187
17.220182,100,64755.685315
-9.945666,13,64773.351157
-7.1806264,54,64818.354202
2.872158,92,64888.700277
21.795265,100,64964.382335
2.3515873,39,64999.377072
-2.698163,94,65071.055996
-7.581308,34,65104.067934
18.313004,100,65179.733876
-7.058158,39,65214.745881
-5.3700247,88,65282.420579
12.084292,100,65358.095895
3.9945552,100,65433.781243
-2.445681,52,65477.436581
14.578883,100,65553.108422
1.2219667,51,65596.12974
-7.602893,31,65625.796737
-5.366398,84,65690.797733
-3.9885669,34,65722.466126
21.69696,91,65792.147274
-8.402256,20,65814.476944
1.6878538,80,65876.822488
4.8161297,100,65952.506437
13.300932,100,66028.181092
-10.089905,19,66049.850318
-6.94088,24,66074.85157
-1.385293,95,66147.196806
2.4581022,89,66215.543267
22.68345,100,66291.208149
-5.2666287,49,66332.891139
-6.7530766,35,66365.214876
-8.779725,25,66390.884865
20.174082,100,66466.561186
-5.675654,100,66542.235509
-8.7993,34,66573.919306
0.8885002,97,66647.588727
-8.573515,45,66686.589581
-22.71027,78,66747.607499
3.9187326,100,66823.276209
0.8191223,73,66880.960557
-5.139067,49,66922.633575
-5.256133,88,66990.298038
-9.386249,29,67018.641897
5.399067,100,67094.308703
16.180347,100,67169.993721
21.631464,100,67245.663784
-4.1941295,27,67273.333277
-10.403367,44,67311.686846
5.0857553,88,67379.350356
-7.923044,27,67406.355559
-19.997133,45,67445.351626
-8.303824,62,67495.706608
-1.536231,61,67545.370864
-7.8768625,92,67615.715477
-2.108315,51,67658.728852
8.945237,100,67734.402213
-5.7042785,49,67776.070513
-0.18921375,51,67819.082789
0.7558508,97,67892.751249
-8.392743,24,67917.760438
-10.647709,45,67956.760958
12.995602,100,68032.438135
12.290312,63,68083.453816
-0.30901527,66,68136.462445
17.83921,100,68212.131576
10.306179,90,68281.151264
17.78822,100,68356.820693
3.58844,64,68408.498121
-0.5410013,90,68477.502048
-8.562396,54,68522.503673
-4.2865148,100,68598.185575
-6.374669,51,68641.182927
-0.6945734,65,68693.534971
-10.252346,12,68710.534449
5.0489593,100,68786.203377
27.947037,100,68861.8888
-9.762984,21,68884.889865
20.231897,100,68960.561434
-9.519977,31,68990.243319
4.1172924,100,69065.91973
4.919531,90,69134.916426
3.1600723,100,69210.596453
-2.9663005,38,69244.932071
-7.2356787,100,69320.613446
9.569213,100,69396.285845
-8.908998,21,69419.294651
10.482903,100,69494.961988
0.64087105,58,69542.633385
15.637231,100,69618.311143
18.287254,100,69693.983109
-11.431193,29,69722.320928
-7.5073223,59,69770.652383
10.957514,100,69846.333415
16.973558,100,69922.003182
9.661148,100,69997.679085
16.83524,100,70073.365153
-8.910786,22,70097.026242
-5.688273,35,70129.364457
-3.8294764,100,70205.039346
2.0450888,72,70262.052768
10.818239,65,70314.378637
2.3595047,88,70382.068478
10.436129,100,70457.737098
-0.3505634,100,70533.412659
23.45809,100,70609.101238
6.0400124,100,70684.780231
-6.040731,32,70715.106642
10.09237,100,70790.776926
2.4448204,65,70843.129372
-5.911256,73,70900.807945
-9.367057,23,70925.128957
4.9021635,100,71000.816172
14.493094,100,71076.489498
-8.99283,20,71098.827788
17.563168,100,71174.505927
15.885363,98,71248.84738
-7.7714334,45,71287.852907
-1.3340368,73,71345.52984
-5.6671376,56,71391.875157
12.616511,100,71467.563188
-5.750521,87,71534.562427
-11.708668,44,71573.910996
8.335569,100,71649.582194
-9.931867,29,71677.925633
2.5199583,100,71753.601058
21.781801,100,71829.284417
-13.737129,31,71858.95151
-2.7733827,39,71893.960191
6.6695766,91,71963.631731
10.586522,100,72039.30749
4.837657,91,72108.982164
-5.7846494,33,72139.983832
6.811468,100,72215.662148
-9.067096,17,72236.006391
-9.587454,17,72256.335737
10.849648,100,72332.011777
2.7095919,67,72385.696019
-9.486906,25,72411.355055
-10.031472,15,72430.365505
24.994953,100,72506.02607
9.190422,68,72560.380773
-7.248712,92,72630.725277
-7.4086494,21,72653.715195
2.2624722,49,72695.40181
5.9027786,94,72767.070114
-8.225492,31,72796.743966
23.971615,100,72872.413995
0.6396017,51,72915.419735
-0.388731,86,72981.759215
0.79351044,82,73045.433755
-0.63856125,81,73108.455795
-9.13032,44,73146.787855
-7.597147,42,73183.791384
-10.983011,47,73224.138331
-6.691346,54,73269.136734
-3.7980113,68,73323.478357
-0.28353882,38,73357.816585
-9.335375,100,73433.481987
-13.465925,50,73475.821584
11.336697,83,73540.170214
-10.105386,74,73598.500251
1.2433205,81,73661.509598
21.606245,100,73737.185107
-0.30671024,82,73800.864397
9.628101,100,73876.536783
-0.61753887,100,73952.212975
27.409678,100,74027.894348
-7.715922,34,74059.572181
6.911316,100,74136.246584
-9.060699,40,74171.922881
-2.954669,84,74236.922892
18.824318,100,74312.603852
11.962635,100,74388.282641
13.065952,100,74463.960455
-4.9084706,47,74504.299124
12.179261,100,74579.967283
-8.875391,22,74603.643478
-3.981535,100,74679.320083
-8.961716,25,74704.99782
-6.399879,96,74777.993085
-4.584054,44,74816.332764
-1.706872,37,74850.011617
-8.899924,27,74877.010048
10.221954,100,74952.688509
0.14698887,59,75001.039189
16.905407,100,75076.710229
-3.6110058,38,75111.055996
-11.265322,56,75157.380391
6.782482,96,75230.393844
7.702629,88,75298.06508
14.194136,96,75371.085536
1.5682154,97,75444.745956
15.0175705,100,75522.757991
-5.504999,73,75580.441903
-9.759304,42,75617.444726
4.311311,98,75691.779791
2.2426465,100,75767.464868
19.823298,100,75843.142421
-5.3746467,57,75890.153168
21.190489,100,75965.831888
-3.1390054,43,76003.495164
14.114863,100,76079.180016
-7.450771,26,76105.510526
11.7364,100,76181.190089
2.655673,68,76235.536121
-3.367507,68,76289.879364
5.164839,100,76365.537547
5.62076,100,76441.216624
25.668709,100,76516.898468
-9.478373,15,76535.895253
-9.36834,21,76558.904338
10.351113,100,76637.911538
11.940636,100,76713.583634
-9.674793,35,76745.920682
-1.7637386,46,76785.592411
13.248056,100,76861.262686
-9.861153,16,76880.9367
18.068539,100,76956.605989
-9.018467,27,76983.625848
5.106118,83,77047.955044
-7.4211617,43,77085.634718
3.5516605,93,77156.633831
25.785572,100,77232.320142
-7.8892603,33,77263.322855
17.580818,100,77338.998068
-5.4502378,49,77380.664034
14.579521,100,77456.345827
-8.640177,16,77476.014111
25.147488,100,77551.689308
23.162727,100,77627.360382
4.7060113,100,77703.03894
2.3346748,84,77768.055501
-5.337617,100,77843.735939
-2.619305,100,77919.400031
9.557412,100,77995.079811
-11.016475,19,78016.751695
14.289019,100,78092.438289
9.215729,100,78168.102818
5.8109674,96,78241.117126
1.865982,89,78309.46005
-9.899302,21,78332.469618
-4.770986,100,78408.145828
1.4714173,100,78483.823576
15.833359,71,78540.160567
8.384932,66,78593.1745
-8.7492285,31,78622.843277
-1.4844961,58,78670.505363
17.233805,100,78746.171669
-10.541258,47,78786.525515
6.0592914,87,78853.523327
-8.044644,27,78880.534278
-10.434464,24,78905.535615
18.753742,100,78981.197986
7.4691157,100,79056.879873
3.3445396,52,79100.566305
-1.5796347,63,79151.563393
-0.5349541,96,79224.577452
5.8314323,100,79300.249401
-0.1774234,100,79375.934169
2.2060575,100,79451.614577
18.672422,100,79527.276088
-4.4826775,51,79570.278149
23.432331,100,79645.963443
-13.148586,39,79682.307263
-14.037076,52,79725.970082
3.3392754,98,79800.317905
-5.580523,31,79829.98736
19.88758,100,79905.670108
-3.3062239,83,79971.006251
-1.3150816,46,80010.678178
-6.4900975,60,80059.677531
8.362095,100,80135.355904
5.502076,70,80191.034624
-0.08813,57,80238.043109
3.9177046,66,80291.047021
-3.3057656,56,80337.389314
-7.1197176,24,80362.387754
-5.584719,65,80414.726089
5.9696026,45,80453.740143
-4.453253,52,80497.410759
25.006035,100,80573.087749
2.1080627,62,80623.428286
12.948178,100,80699.108661
21.472683,100,80774.7765
23.16269,100,80850.455811
26.044838,95,80922.803905
8.973024,100,81000.475603
12.717203,100,81076.150888
-3.3947282,86,81142.490457
21.814623,100,81218.170532
-9.292956,51,81261.179876
12.040158,100,81336.848765
-4.3954773,100,81412.530372
-5.5555916,49,81454.202182
3.2631207,71,81513.20679
4.3145723,100,81588.890512
-9.620074,42,81625.896694
-8.7308235,44,81664.240074
17.119658,100,81739.912783
8.179942,100,81815.590167
-2.0725017,51,81858.596081
19.645613,100,81934.279772
-4.2315087,37,81967.946271
5.030985,59,82016.287134
-1.384675,63,82068.631479
19.864363,100,82144.306413
2.754757,100,82219.977978
9.708531,100,82295.658545
-6.6171002,35,82328.001071
8.684074,91,82397.679062
15.2182865,100,82473.358798
-7.395295,19,82495.024246
22.804348,100,82570.705644
4.8715377,100,82646.380339
20.514872,100,82722.04881
17.878077,100,82797.732578
11.820599,100,82873.402309
4.002817,100,82950.744973
8.212946,60,83001.42678
1.1350265,70,83057.090453
20.858997,100,83132.785959
-3.2820687,86,83199.113706
17.881903,100,83274.790813
26.28109,100,83350.45738
11.031193,100,83426.142556
-7.8923264,100,83501.822642
-4.4930506,45,83540.827785
3.1915472,100,83616.50458
24.265125,100,83694.190614
18.34852,100,83769.857819
5.354741,100,83845.544159
11.741944,100,83921.217583
17.269331,100,83996.89147
-1.7570372,42,84033.906275
-4.42502,54,84078.912747
10.65547,100,84154.580266
29.798244,100,84230.265516
7.211187,100,84305.955431
-1.3892746,70,84361.617993
22.115767,100,84437.304306
-7.277153,66,84490.300744
18.716333,100,84565.986309
24.542177,100,84641.663123
-9.484435,12,84658.674621
15.008438,100,84734.341938
8.043242,100,84810.015813
-7.246442,32,84840.364551
-8.443618,29,84868.692626
4.272236,100,84944.366835
4.1433992,100,85020.047918
12.857497,100,85095.71699
7.2388144,100,85171.407748
17.127542,100,85247.098649
-8.562856,27,85274.090521
-5.839526,57,85321.098716
2.8604956,55,85366.770566
8.066433,84,85431.767146
-9.314788,26,85458.114704
16.751795,100,85533.784299
-4.9120765,41,85570.124039
14.490578,100,85645.797056
0.13659191,46,85685.480757
0.8573313,54,85730.481203
15.89211,100,85806.158437
12.1116705,100,85881.823472
2.7269506,100,85957.513741
-9.857278,27,85984.510773
9.896429,95,86056.84856
-7.5140715,39,86091.853843
9.36793,100,86167.539871
-2.2090025,93,86238.550594
5.454857,100,86314.223831
15.630586,100,86389.904654
-8.737177,28,86417.571918
-6.1085815,42,86454.577661
-7.0262904,49,86496.254178
-11.351209,100,86571.927724
3.2997637,89,86640.265883
6.6930447,100,86715.948622
7.043443,100,86791.608914
-3.0920053,39,86826.610262
8.267916,85,86892.305906
0.7371254,91,86961.977964
-4.028316,31,86992.65337
16.988462,100,87068.327559
19.229183,100,87144.001714
24.161251,100,87219.684587
16.986954,100,87295.339339
14.465304,100,87371.023578
-8.668121,32,87401.35981
-5.264864,35,87433.699273
-2.8255448,44,87472.032947
21.304762,100,87547.717284
16.650593,100,87623.397892
27.27928,100,87699.058837
-4.0017495,46,87738.74464
3.5139942,100,87814.411595
11.043308,100,87890.083293
11.409269,100,87965.759181
-9.968635,48,88006.772973
15.384698,100,88082.440192
-2.0977,81,88145.445201
21.905195,100,88221.128196
-1.7891006,47,88261.470676
25.9002,100,88337.145128
5.9540358,75,88399.816848
3.569251,100,88475.472479
-14.221287,27,88502.501302
-10.680384,33,88533.509354
27.851889,100,88609.179246
-1.4685497,85,88674.862104
0.047361374,70,88730.537972
4.675741,100,88806.214249
-2.536296,60,88855.224941
27.35041,100,88930.891763
-0.9360542,88,88998.569263
28.684425,100,89074.246537
-1.0418863,59,89122.5947
-5.6931944,41,89158.93525
17.27868,100,89234.602207
-7.9692073,96,89307.604769
-6.258514,52,89351.281228
-10.701212,18,89372.279958
7.271369,100,89447.94911
20.952005,100,89523.642678
26.291088,100,89599.305784
2.648796,47,89639.658499
15.534618,89,89708.007205
0.898124,100,89783.683598
5.880671,100,89859.354736
17.191326,100,89935.031995
24.07405,100,90010.699499
-7.6815815,22,90034.372178
-6.2223334,53,90078.709774
18.468895,100,90154.408384
10.000299,100,90230.075952
23.257555,100,90305.756275
9.301478,100,90381.429141
21.662798,100,90457.106405
11.058467,100,90532.780616
7.722992,80,90595.118905
1.4547482,87,90662.143112
-4.4780307,74,90720.477031
18.667912,100,90796.159395
-6.9354,45,90835.151601
20.615816,100,90912.169266
22.700066,100,90987.840024
-8.331602,51,91030.84223
-14.534694,100,91106.523111
-8.785812,45,91145.535681
5.071795,100,91221.204818
16.266304,100,91296.882179
16.085949,100,91372.562046
-10.029724,20,91394.898801
-1.8310995,62,91445.230932
-6.700145,22,91468.912229
-4.2541018,48,91509.918781
7.375778,72,91566.923148
20.25389,100,91642.602786
-6.4385023,100,91718.281178
-2.6627688,92,91788.619443
1.0453285,100,91864.287138
7.340273,72,91921.29276
-9.518309,20,91943.64264
12.713558,100,92019.304172
7.1016693,100,92094.985975
18.411377,100,92170.658717
11.637786,100,92246.34063
13.724958,100,92322.010236
35.22963,100,92397.694768
13.929381,100,92473.368892
-8.907669,17,92493.701014
-6.434042,41,92530.035308
8.492836,73,92587.72123
19.280228,100,92663.400336
-1.2204432,100,92740.406188
-4.040752,46,92780.070848
-7.1071835,23,92804.4119
1.9254799,58,92852.090685
8.130833,100,92927.765446
17.958006,100,93003.443295
-4.1216226,92,93073.782826
2.0316448,83,93138.124742
16.17464,100,93213.804502
16.96506,100,93289.971407
-8.178645,37,93323.633982
21.568546,100,93399.312317
28.877996,100,93474.988587
14.134877,100,93550.666892
6.969788,100,93629.344072
19.68201,100,93706.026352
6.161543,58,93753.6937
-3.1101685,88,93821.369297
-8.244122,35,93853.708561
13.23591,100,93929.376377
-11.910506,61,93979.060801
-10.866481,43,94016.73382
4.9156013,100,94092.398068
7.010704,70,94148.07758
0.9541143,47,94188.409116
19.323744,100,94264.096969
13.114563,100,94339.776813
18.670788,100,94415.445109
18.978876,100,94491.12239
10.731395,100,94566.804549
2.9198892,100,94642.473957
-8.281591,28,94670.144503
-10.148846,48,94711.157473
-4.823578,68,94765.498231
1.2385814,100,94841.173766
20.439816,100,94916.860969
21.145157,100,94992.536142
-7.5654087,81,95055.545092
11.956607,100,95131.220973
-7.731284,25,95156.889405
6.8314967,100,95232.574044
2.768096,80,95295.909343
24.925623,100,95371.584793
18.390314,100,95447.255353
18.680433,100,95522.924753
3.8148766,92,95593.269547
3.9751563,100,95668.948001
21.347324,100,95744.633589
24.112741,100,95820.307307
-10.158738,20,95842.65226
-0.5215378,57,95889.649414
7.609349,100,95965.336112
7.6816154,100,96041.005896
-0.07791066,100,96116.679422
-8.870904,16,96136.340462
-7.910276,34,96168.013905
16.22523,92,96238.36428
-5.965566,39,96273.380274
-3.7185464,44,96311.702588
27.293446,100,96387.386664
21.035927,100,96463.058333
12.186636,100,96538.735148
7.344528,84,96603.738808
-8.74769,20,96626.086681
21.98652,100,96703.414423
24.515377,100,96779.104413
16.659546,100,96854.780297
16.913103,100,96930.451457
-3.8525257,59,96978.793782
15.123528,100,97054.468013
-1.6402187,100,97130.14106
8.967543,93,97201.15166
28.603277,100,97276.826929
6.9384747,100,97352.492619
13.223328,100,97428.173656
-4.056054,100,97503.853852
-8.226923,22,97527.519186
11.727484,100,97603.191312
-5.472054,34,97634.870145
-0.6449871,55,97680.541456
3.745741,100,97759.54793
-2.0070515,59,97807.889897
14.435225,78,97868.894762
25.248363,100,97944.591255
2.361124,60,97993.578426
8.895666,100,98069.267091
3.1967955,67,98122.933695
1.7225161,58,98170.597935
-7.0288315,28,98198.267041
6.8838196,100,98273.951519
13.835943,100,98349.619515
24.21186,100,98425.313155
0.25673676,92,98495.654578
6.1805305,95,98568.001003
28.151152,100,98643.677647
8.506287,95,98716.013662
-3.7824688,48,98757.022244
23.138382,100,98832.705217
16.711105,100,98908.370341
7.5784354,100,98984.058358
13.745056,100,99059.742716
3.8236072,100,99135.422878
-4.5465918,49,99177.08175
-10.443481,27,99204.085619
7.284733,91,99273.770831
17.128788,100,99349.432352
14.958396,100,99425.106631
-7.192395,48,99466.121009
20.512043,100,99541.794326
25.53679,100,99617.473635
15.476774,100,99693.137062
-18.226192,73,99750.821164
11.913484,100,99826.488415
24.74079,100,99902.17663
25.945171,100,99977.854057
-5.4397044,100,100053.52824
4.434894,100,100129.206681
10.617748,100,100204.885295
26.88422,100,100280.555691
6.1159115,100,100356.230753
22.105011,100,100431.906977
3.8676968,48,100472.922929
7.897733,100,100548.588702
14.5310545,100,100624.275368
13.252103,100,100699.95031
-0.9308624,49,100741.615414
-3.0662522,42,100778.621746
19.410192,100,100854.304187
-3.9772959,51,100897.305464
-4.4871044,34,100928.981583
14.723003,100,101004.657636
-5.006039,34,101036.323422
11.922836,100,101112.002764
9.426529,100,101187.677094
1.8442793,53,101232.013711
21.439127,100,101307.691042
9.18943,100,101383.369304
18.822384,100,101460.72254
-4.726831,38,101495.05428
20.73954,100,101570.723999
24.598711,100,101646.41346
8.0364,83,101710.7478
6.9797745,100,101786.426828
1.3062143,60,101835.434598
3.0895817,100,101911.121396
29.20924,100,101986.792313
22.62982,100,102062.46725
13.06115,100,102138.157291
-5.1362753,35,102170.482529
-7.434657,97,102244.160249
30.65418,100,102319.850314
-2.3656106,48,102360.853644
-8.173855,59,102409.182426
9.843253,100,102484.869232
-0.121650696,47,102525.203018
17.201572,100,102600.878107
23.90584,100,102676.554795
11.45939,100,102752.237676
22.242388,100,102827.901519
8.742023,100,102903.580563
14.634387,100,102979.255938
25.384996,100,103054.935508
26.029316,100,103130.613609
-2.4778752,65,103182.955863
-4.236611,63,103233.962616
-8.506574,17,103254.285756
-3.6584582,98,103329.643667
18.08397,89,103397.984206
10.851698,89,103466.33117
10.175793,100,103542.000436
-9.16534,36,103576.009987
18.12218,100,103651.679937
-6.470083,24,103676.687763
-6.3360653,22,103700.361243
3.4401283,100,103776.035345
35.37967,100,103851.713567
4.915004,100,103927.383024
8.300493,64,103979.061894
-8.4908905,32,104009.395991
6.070896,62,104059.741214
-8.990686,33,104090.744173
8.749156,100,104166.418378
12.502668,100,104242.102978
-5.0407367,46,104281.772429
2.284789,74,104340.109195
14.243551,100,104415.786347
4.329625,73,104474.46797
8.788559,100,104550.13931
31.252115,100,104625.818296
4.6292477,100,104701.487293
-7.917259,55,104747.159483
-7.1025167,22,104770.834872
22.656277,100,104846.513985
19.199387,100,104922.177429
-8.059552,47,104962.511739
-7.864483,32,104992.861774
-7.8443317,26,105019.201167
5.715172,69,105074.209147
7.064045,75,105134.549737
7.285049,100,105210.234358
14.352325,100,105285.905279
-9.7604885,23,105310.249821
-8.366895,24,105335.252941
3.2322865,58,105382.92078
-7.9215918,47,105423.264902
-3.9602418,29,105451.595005
1.8581209,58,105499.26948
-9.754994,37,105532.930707
-10.099651,17,105553.267915
16.962353,100,105628.941992
-8.046134,35,105661.279884
26.681892,100,105736.963439
28.501787,100,105812.63353
12.491863,100,105888.311029
-7.03732,33,105919.311734
14.9711895,95,105991.660391
19.429752,100,106067.334726
3.9929771,100,106143.012778
16.347326,100,106218.688338
17.45581,100,106294.361005
18.82311,100,106370.038968
15.486555,100,106445.719569
17.392187,100,106521.397162
-8.322764,51,106564.394074
5.7213583,76,106624.069471
18.09588,100,106699.741849
4.037921,69,106754.744441
31.542358,100,106830.432694
13.3190975,55,106876.09224
16.239424,100,106951.771344
18.603352,100,107027.451582
30.577112,100,107103.132073
4.886094,100,107178.795433
21.700579,100,107254.480736
-4.3285003,30,107283.481637
17.48323,100,107359.163126
10.19144,100,107434.837909
28.202042,100,107510.5082
-2.232469,77,107570.856934
-1.7103262,46,107611.866368
23.70816,100,107687.541687
-7.298115,45,107726.53864
3.234993,63,107777.545207
